Temperature, Humidity, Air_Pressure, Light_Intensity, Toxic_Chemical_Level, TVOC_Level, eCO2_Level, H2_Level, Ethanol_Level
26.39, 28.90, 101.98, 686, 32, 0, 410, 14146, 20229
26.39, 28.15, 101.98, 686, 32, 1, 405, 14153, 20230
26.37, 28.87, 101.98, 686, 32, 2, 409, 14153, 20228
26.35, 28.66, 101.98, 686, 31, 1, 403, 14147, 20230
26.39, 28.73, 101.98, 686, 31, 0, 404, 14146, 20229
26.42, 28.52, 101.98, 686, 30, 3, 404, 14154, 20227
26.39, 28.85, 101.98, 686, 27, 4, 404, 14146, 20227
26.39, 28.32, 101.98, 686, 32, 2, 400, 14147, 20225
26.41, 28.73, 101.98, 686, 31, 0, 406, 14145, 20227
26.42, 28.69, 101.98, 686, 34, 1, 410, 14145, 20224
26.39, 28.81, 101.98, 686, 33, 0, 400, 14147, 20235
26.42, 28.76, 101.98, 686, 30, 5, 412, 14139, 20226
26.42, 29.01, 101.98, 686, 32, 5, 406, 14141, 20230
26.37, 28.22, 101.97, 686, 31, 6, 407, 14141, 20225
26.41, 28.90, 101.98, 686, 32, 1, 415, 14146, 20236
26.41, 28.69, 101.98, 686, 31, 9, 417, 14137, 20230
26.41, 28.88, 101.98, 686, 31, 2, 421, 14135, 20237
26.37, 28.44, 101.98, 686, 31, 1, 421, 14138, 20229
26.39, 28.85, 101.98, 686, 32, 0, 422, 14131, 20243
26.39, 28.57, 101.97, 686, 32, 2, 420, 14128, 20230
26.39, 28.89, 101.98, 686, 29, 0, 422, 14131, 20236
26.39, 28.78, 101.98, 686, 31, 3, 428, 14125, 20236
26.39, 28.71, 101.98, 686, 32, 3, 423, 14131, 20239
26.41, 28.62, 101.98, 686, 31, 5, 425, 14127, 20233
26.41, 28.71, 101.98, 686, 30, 0, 428, 14122, 20239
26.42, 28.48, 101.98, 686, 32, 3, 423, 14123, 20232
26.39, 28.69, 101.98, 686, 31, 5, 433, 14124, 20241
26.44, 28.66, 101.98, 686, 31, 3, 436, 14116, 20233
26.39, 28.81, 101.98, 686, 31, 3, 449, 14112, 20234
26.41, 28.63, 101.98, 686, 32, 7, 445, 14110, 20239
26.41, 28.31, 101.98, 686, 30, 4, 453, 14110, 20229
26.42, 28.83, 101.98, 686, 31, 5, 458, 14103, 20241
26.42, 28.84, 101.98, 686, 30, 7, 458, 14099, 20233
26.39, 28.67, 101.98, 686, 31, 10, 464, 14097, 20232
26.39, 28.83, 101.98, 686, 31, 13, 478, 14097, 20233
26.37, 28.40, 101.98, 686, 31, 7, 471, 14093, 20230
26.39, 28.76, 101.98, 686, 30, 11, 477, 14081, 20221
26.42, 28.18, 101.98, 686, 29, 9, 472, 14084, 20235
26.41, 28.92, 101.98, 686, 31, 10, 478, 14085, 20232
26.41, 28.35, 101.98, 686, 32, 13, 485, 14081, 20226
26.41, 28.76, 101.99, 686, 32, 20, 493, 14072, 20219
26.46, 28.84, 101.98, 686, 32, 20, 502, 14061, 20216
26.44, 28.77, 101.98, 686, 32, 14, 513, 14054, 20211
26.46, 28.52, 101.98, 686, 29, 24, 520, 14049, 20212
26.42, 28.71, 101.98, 686, 33, 20, 527, 14045, 20212
26.42, 28.30, 101.98, 686, 32, 21, 521, 14043, 20211
26.42, 28.77, 101.98, 686, 32, 20, 521, 14047, 20214
26.41, 28.35, 101.98, 686, 32, 16, 520, 14052, 20209
26.42, 28.85, 101.98, 686, 32, 17, 503, 14053, 20206
26.42, 28.33, 101.98, 686, 31, 18, 503, 14061, 20207
26.41, 28.80, 101.98, 686, 32, 19, 488, 14068, 20212
26.44, 28.34, 101.98, 686, 31, 18, 485, 14079, 20222
26.42, 28.83, 101.98, 685, 30, 15, 472, 14075, 20212
26.44, 28.87, 101.98, 685, 30, 19, 478, 14077, 20209
26.46, 28.93, 101.98, 686, 33, 18, 467, 14088, 20217
26.44, 28.64, 101.98, 686, 31, 16, 462, 14089, 20224
26.46, 28.97, 101.98, 686, 32, 9, 472, 14087, 20223
26.42, 28.50, 101.98, 686, 32, 14, 469, 14080, 20213
26.44, 28.95, 101.98, 686, 30, 17, 465, 14086, 20216
26.44, 28.67, 101.98, 686, 32, 14, 456, 14091, 20220
26.48, 29.02, 101.98, 686, 30, 6, 443, 14099, 20221
26.48, 28.29, 101.98, 686, 30, 6, 443, 14103, 20225
26.46, 28.71, 101.98, 686, 32, 8, 442, 14102, 20230
26.44, 28.40, 101.98, 686, 31, 20, 449, 14097, 20221
26.48, 28.88, 101.98, 686, 31, 12, 437, 14104, 20229
26.48, 28.75, 101.98, 686, 33, 9, 423, 14108, 20231
26.42, 28.91, 101.98, 686, 29, 5, 420, 14114, 20229
26.46, 28.36, 101.98, 686, 31, 12, 423, 14115, 20224
26.46, 28.86, 101.98, 686, 31, 9, 417, 14114, 20221
26.46, 28.70, 101.98, 686, 32, 6, 410, 14125, 20225
26.46, 28.77, 101.98, 685, 31, 5, 410, 14123, 20233
26.48, 28.30, 101.98, 685, 31, 1, 410, 14128, 20241
26.46, 28.95, 101.98, 686, 29, 8, 415, 14120, 20221
26.42, 28.82, 101.98, 686, 31, 0, 404, 14127, 20234
26.46, 28.88, 101.98, 686, 31, 5, 415, 14121, 20220
26.44, 28.67, 101.98, 686, 29, 2, 405, 14126, 20228
26.46, 28.78, 101.98, 686, 30, 2, 411, 14119, 20229
26.44, 28.35, 101.98, 686, 31, 0, 400, 14130, 20240
26.48, 29.01, 101.98, 686, 29, 8, 409, 14122, 20231
26.46, 28.34, 101.98, 686, 31, 8, 410, 14117, 20226
26.46, 28.95, 101.98, 686, 32, 6, 414, 14123, 20226
26.48, 28.85, 101.98, 686, 30, 3, 412, 14120, 20239
26.48, 28.90, 101.98, 686, 31, 8, 415, 14119, 20230
26.46, 28.64, 101.98, 686, 31, 4, 407, 14121, 20236
26.46, 28.78, 101.98, 686, 30, 5, 403, 14125, 20234
26.46, 28.35, 101.98, 686, 30, 6, 406, 14123, 20230
26.50, 28.73, 101.98, 686, 30, 5, 400, 14131, 20232
26.50, 28.73, 101.98, 686, 31, 0, 400, 14129, 20232
26.48, 28.68, 101.98, 686, 30, 0, 400, 14136, 20236
26.48, 28.49, 101.98, 686, 31, 4, 400, 14134, 20233
26.46, 28.63, 101.98, 686, 31, 3, 400, 14139, 20236
26.50, 28.57, 101.98, 686, 30, 0, 400, 14138, 20235
26.53, 28.76, 101.98, 686, 30, 0, 400, 14151, 20249
26.51, 28.54, 101.98, 686, 31, 0, 400, 14148, 20245
26.50, 28.60, 101.98, 686, 32, 0, 400, 14149, 20255
26.51, 28.25, 101.98, 686, 30, 0, 400, 14149, 20249
26.51, 28.88, 101.98, 686, 29, 7, 412, 14145, 20250
26.53, 28.73, 101.98, 686, 31, 0, 412, 14141, 20247
